,Site,Name,rep,CN_weight,Percent.N,Percent.C,Lon,Lat,P_weight,P
112,MB,MB1,2,0.5,6.624662399,61.59019852,-72.64,44.5,0.484,0.366
113,MB,MB1,3,0.400000006,7.172618866,61.40869904,-72.64,44.5,0.521,0.347
114,MB,MB2,1,0.326000005,7.411108494,60.91106796,-72.64,44.5,0.549,0.334
115,MB,MB2,2,0.356000006,6.95761776,62.13782501,-72.64,44.5,0.445,0.294
116,MB,MB2,3,0.465000004,6.421413898,63.04008102,-72.64,44.5,0.539,0.316
117,Nock,Nock6,1,0.453999996,10.02424812,55.4582634,-75.23473,40.4691,0.453,0.373
118,Nock,Nock6,2,0.499000013,9.565160751,56.16616821,-75.23473,40.4691,0.557,0.423
119,Notch,Notch1,1,0.740999997,11.16558552,54.38959503,-73.0043,42.4983,0.51,0.442
120,Notch,Notch1,2,0.734000027,10.11730671,55.17111969,-73.0043,42.4983,0.67,0.592
121,Notch,Notch3,1,0.545000017,10.22340298,55.18016434,-73.0043,42.4983,0.805,0.696
122,Notch,Notch3,2,0.528999984,10.98422146,52.90577316,-73.0043,42.4983,0.471,0.428
123,Notch,Notch4,1,0.619000018,10.43193245,54.66938019,-73.0043,42.4983,0.571,0.506
124,Notch,Notch4,2,0.536000013,10.57964897,55.12866974,-73.0043,42.4983,0.581,0.543
125,Notch,Notch4,3,0.460999995,10.21228027,55.57292938,-73.0043,42.4983,0.642,0.548
126,NSP,NSP11,1,0.43900001,11.47324371,53.4160614,-74.91124,40.08038,0.551,0.479
127,NSP,NSP11,2,0.617999971,10.33742046,54.96037674,-74.91124,40.08038,0.557,0.52
128,NSP,NSP11,3,0.541000009,10.80026722,55.92677689,-74.91124,40.08038,0.517,0.443
129,NSP,NSP2,1,0.713,8.693613052,59.4609642,-74.91124,40.08038,0.561,0.563
130,NSP,NSP2,2,0.448000014,9.410598755,52.47297668,-74.91124,40.08038,0.507,0.433
131,NSP,NSP2,3,0.437999994,9.959100723,56.37187576,-74.91124,40.08038,NA,NA
132,NSP,NSP3,1,0.579999983,10.37617302,55.92690659,-74.91124,40.08038,0.599,0.505
133,NSP,NSP3,2,0.470999986,10.58464813,56.18149948,-74.91124,40.08038,0.637,0.501
134,NSP,NSP3,3,0.603999972,10.25846195,55.92091751,-74.91124,40.08038,0.614,0.518
135,RC,RC02,1,0.412999988,7.902225018,60.31302643,-79.0772,36.0364,0.412,0.36
136,RC,RC06,1,0.501999974,6.777788162,62.83126831,-79.0772,36.0364,0.499,0.287
137,RC,RC06,2,0.412999988,9.11119175,56.42629242,-79.0772,36.0364,0.529,0.283
138,RC,RC06,3,0.497999996,9.844967842,56.99888611,-79.0772,36.0364,NA,NA
139,RC,RC09,1,0.588999987,5.425163746,65.49016571,-79.0772,36.0364,0.458,0.278
140,RC,RC09,2,0.319000006,11.12409687,53.50719833,-79.0772,36.0364,NA,NA
141,RC,RC15,1,0.379999995,8.972652435,60.39741898,-79.0772,36.0364,NA,NA
142,RC,RC15,2,0.509000003,6.670194626,64.99949646,-79.0772,36.0364,NA,NA
143,RC,RC15,3,0.375999987,9.17079258,57.98231125,-79.0772,36.0364,NA,NA
144,RC,RC16,1,0.398000002,6.792525768,62.14713669,-79.0772,36.0364,0.522,0.299
145,RC,RC16,2,0.629999995,6.316034317,63.17777634,-79.0772,36.0364,0.535,0.3
146,RC,RC16,3,0.430000007,8.294092178,59.40278625,-79.0772,36.0364,NA,NA
147,RW,RW5,1,0.458999991,10.1936903,54.23976898,-73.4855,44.4906,0.467,0.479
148,RW,RW5,2,0.43900001,9.492765427,55.73906326,-73.4855,44.4906,0.561,0.549
149,SEB,SEB2,1,0.537999988,9.723989487,56.57011414,-70.5828,43.9235,0.582,0.474
150,SEB,SEB2,2,0.568000019,9.945376396,55.16077423,-70.5828,43.9235,NA,NA
151,SEB,SEB3,1,0.284000009,8.751360893,55.34075165,-70.5828,43.9235,0.324,0.289
152,SEB,SEB3,2,0.268999994,8.961263657,55.37582397,-70.5828,43.9235,NA,NA
153,SEB,SEB9,1,0.518999994,10.82854939,54.53118896,-70.5828,43.9235,0.51,0.36
154,SEB,SEB9,2,0.50999999,10.12537003,55.79123306,-70.5828,43.9235,NA,NA
155,UNF,UNF3,1,0.488999993,8.038813591,59.1570549,-79.9745,35.3693,0.482,0.299
156,UNF,UNF3,2,0.559000015,7.263091564,61.93978882,-79.9745,35.3693,0.573,0.372
157,UNF,UNF3,3,0.460000008,7.354270458,60.70253754,-79.9745,35.3693,0.718,0.282
158,UNF,UNF4,1,0.519999981,9.531561852,58.68821716,-79.9745,35.3693,NA,NA
159,UNF,UNF4,2,0.574000001,4.914301395,68.02509308,-79.9745,35.3693,NA,NA
160,UNF,UNF6,1,0.404000014,11.98163795,52.29030609,-79.9745,35.3693,0.463,0.302
161,UNF,UNF6,2,0.42899999,9.202172279,56.99621964,-79.9745,35.3693,0.349,0.371
162,UNF,UNF6,3,0.563000023,5.374641418,66.74061584,-79.9745,35.3693,0.471,0.308
163,UNF,UNF7,1,0.437000006,9.740524292,55.96107483,-79.9745,35.3693,0.382,0.347
164,UNF,UNF7,2,0.250999987,10.94986248,52.62049484,-79.9745,35.3693,0.264,0.267
165,UNF,UNF7,3,0.232999995,9.941926956,52.12378311,-79.9745,35.3693,0.352,0.352
166,UNF,UNF8,1,0.531000018,9.574964523,58.77968597,-79.9745,35.3693,NA,NA
167,UNF,UNF8,2,0.573000014,5.019738197,67.56964111,-79.9745,35.3693,NA,NA
168,UNF,UNF8,3,0.287999988,6.63564682,61.72743607,-79.9745,35.3693,NA,NA
169,WP,WP1,1,0.370000005,9.821694374,55.25839233,-76.0737,39.7284,NA,NA
170,WP,WP11,1,0.444000006,12.16139889,51.31427765,-76.0737,39.7284,0.495,0.522
171,WP,WP11,2,0.514999986,9.936172485,55.37888718,-76.0737,39.7284,0.403,0.365
172,WP,WP11,3,0.486999989,8.191859245,59.88581848,-76.0737,39.7284,NA,NA
173,WP,WP6,1,0.423999995,9.926039696,55.21993256,-76.0737,39.7284,0.563,0.549
174,WP,WP6,2,0.349000007,9.295512199,55.19683075,-76.0737,39.7284,0.535,0.513
175,WP,WP6,3,0.523000002,11.81464863,51.98450089,-76.0737,39.7284,NA,NA
176,WP,WP8,1,0.386999995,10.11979675,57.18434525,-76.0737,39.7284,0.493,0.514
177,WP,WP8,2,0.374000013,12.51043797,52.49240112,-76.0737,39.7284,0.472,0.436
178,WP,WP8,3,0.44600001,11.92461395,53.98878098,-76.0737,39.7284,NA,NA
179,WP,WP9,1,0.453000009,10.35001373,54.58308029,-76.0737,39.7284,NA,NA
180,WP,WP9,2,0.460999995,9.181080818,57.41587448,-76.0737,39.7284,NA,NA
181,WP,WP9,3,0.493999988,9.891561508,56.12722397,-76.0737,39.7284,NA,NA
182,YM,YM01,1,0.592999995,7.914554119,61.23656845,-78.6897,35.7214,0.763,0.415
183,YM,YM01,2,0.456999987,9.374497414,57.83540726,-78.6897,35.7214,0.683,0.354
184,YM,YM02,1,0.64200002,6.828670502,63.59321213,-78.6897,35.7214,0.608,0.364
185,YM,YM02,2,0.56099999,6.216927528,64.47652435,-78.6897,35.7214,0.445,0.358
186,YM,YM03,1,0.460000008,8.249097824,59.59472656,-78.6897,35.7214,NA,NA
