"","Site","Name","rep","CN_weight","Percent.N","Percent.C","Lon","Lat","P_weight","P","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10"
"41","BRM","BRM7",2,0.579999983,10.07661438,55.2474823,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0231622070283972,-0.0336917393659074,-0.00286663192683921,0.00170198743971442,-0.00170579113774365,5.99388080193308e-05,-1.69740294706048e-05,-0.00113312452219933,-0.000335669380885402,-0.000261746388755536
"42","BRM","BRM8",1,0.670000017,11.21178436,54.02076721,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0248694243434907,-0.0355725013356959,-0.00490514713785218,0.00298776731895149,-0.000117534241749075,2.74663632594641e-05,-1.7017908444629e-05,0.000642102096969454,0.00259993270003799,0.000427657600612973
"43","BRM","BRM8",2,0.586000025,10.99468708,54.16356277,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0248694243434907,-0.0355725013356959,-0.00490514713785218,0.00298776731895149,-0.000117534241749075,2.74663632594641e-05,-1.7017908444629e-05,0.000642102096969454,0.00259993270003799,0.000427657600612973
"44","BRP","BRP6",1,0.54400003,10.45864105,54.38050079,-81.9538,35.9264,0.504,0.39,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0270466664947331,-0.038261910372044,-0.00765268198289553,0.0047923046947738,0.00190917782500267,-3.60745060424094e-05,1.11330502935967e-05,-0.00440144636813949,0.00648008801093106,0.00131291715952379
"45","BRP","BRP6",2,0.381999999,12.09492588,52.10557556,-81.9538,35.9264,NA,NA,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0270466664947331,-0.038261910372044,-0.00765268198289553,0.0047923046947738,0.00190917782500267,-3.60745060424094e-05,1.11330502935967e-05,-0.00440144636813949,0.00648008801093106,0.00131291715952379
"46","BRP","BRP6",3,0.601999998,9.790852547,56.85645676,-81.9538,35.9264,NA,NA,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0270466664947331,-0.038261910372044,-0.00765268198289553,0.0047923046947738,0.00190917782500267,-3.60745060424094e-05,1.11330502935967e-05,-0.00440144636813949,0.00648008801093106,0.00131291715952379
"47","BRP","BRP7",1,0.389999986,10.0232296,55.28336334,-81.9538,35.9264,0.469,0.221,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","BRP","BRP7",2,0.472000003,10.43887806,54.93320084,-81.9538,35.9264,0.365,0.282,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","BRP","BRP7",3,0.381000012,12.19059849,52.19455719,-81.9538,35.9264,0.459,0.313,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","BRP","BRP8",1,0.558000028,9.833949089,55.48188782,-81.9538,35.9264,0.555,0.444,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0270604664406336,-0.0382433141898044,-0.00766092009881867,0.00479300876831143,0.00193710802797752,-4.6063243436721e-05,1.50504039535551e-05,-0.00380506285573741,0.00605532831201344,0.00128717752210589
"51","BRP","BRP8",2,0.595000029,10.58555889,54.85196304,-81.9538,35.9264,0.541,0.449,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0270604664406336,-0.0382433141898044,-0.00766092009881867,0.00479300876831143,0.00193710802797752,-4.6063243436721e-05,1.50504039535551e-05,-0.00380506285573741,0.00605532831201344,0.00128717752210589
"52","BRP","BRP9",1,0.479999989,10.54905415,54.56363678,-81.9538,35.9264,0.441,0.385,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0222904092166796,-0.0327083474823322,-0.00181405026213277,0.00103237962073573,-0.00251675171778281,8.05160473843578e-05,-2.25037995747703e-05,-0.00100867768464789,-0.000822160584794993,-0.000379198886947506
"53","BRP","BRP9",2,0.555000007,10.69459248,54.07659531,-81.9538,35.9264,0.496,0.381,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0222904092166796,-0.0327083474823322,-0.00181405026213277,0.00103237962073573,-0.00251675171778281,8.05160473843578e-05,-2.25037995747703e-05,-0.00100867768464789,-0.000822160584794993,-0.000379198886947506
"54","BRP","BRP9",3,0.430000007,10.85241604,54.3055191,-81.9538,35.9264,NA,NA,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,-0.0222904092166796,-0.0327083474823322,-0.00181405026213277,0.00103237962073573,-0.00251675171778281,8.05160473843578e-05,-2.25037995747703e-05,-0.00100867768464789,-0.000822160584794993,-0.000379198886947506
"55","DSF","DSF11",1,0.597000003,10.43640518,55.3820076,-75.6117,41.2979,0.636,0.519,74,113,30,8901,259,-107,366,165,-33,185,-45,1104,109,70,14,321,223,312,225,-0.0232549669017542,-0.0338331886012784,-0.00300142107982582,0.00179836617929562,-0.00161226393310179,4.76254406819208e-05,-7.40032696579849e-06,-0.00204351784552856,-0.00167793046305083,-0.000506632744269559
"56","DSF","DSF11",2,0.532999992,10.75691032,55.56105804,-75.6117,41.2979,0.705,0.539,74,113,30,8901,259,-107,366,165,-33,185,-45,1104,109,70,14,321,223,312,225,-0.0232549669017542,-0.0338331886012784,-0.00300142107982582,0.00179836617929562,-0.00161226393310179,4.76254406819208e-05,-7.40032696579849e-06,-0.00204351784552856,-0.00167793046305083,-0.000506632744269559
"57","DSF","DSF11",3,0.518000007,10.2298708,56.6604805,-75.6117,41.2979,NA,NA,74,113,30,8901,259,-107,366,165,-33,185,-45,1104,109,70,14,321,223,312,225,-0.0232549669017542,-0.0338331886012784,-0.00300142107982582,0.00179836617929562,-0.00161226393310179,4.76254406819208e-05,-7.40032696579849e-06,-0.00204351784552856,-0.00167793046305083,-0.000506632744269559
"58","DW","DW1",1,0.532999992,9.760878563,56.66667938,-83.4919,35.6394,NA,NA,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","DW","DW1",2,0.526000023,7.115240574,62.30765533,-83.4919,35.6394,NA,NA,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","DW","DW1",3,0.463,9.219600677,57.50362396,-83.4919,35.6394,NA,NA,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","HSP","HSP04",1,0.5,6.756186008,58.70006943,-75.71728,41.022,0.414,0.429,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.0203053856718908,-0.0297764692082003,0.000950161721910506,-0.000902669140659835,-0.00438888196098322,0.000164155200964195,-6.37498569092111e-05,-0.000777459621580841,-0.00102811746638291,-0.000765377942026018
"62","HSP","HSP04",2,0.536000013,6.447823048,59.925457,-75.71728,41.022,0.497,0.287,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.0203053856718908,-0.0297764692082003,0.000950161721910506,-0.000902669140659835,-0.00438888196098322,0.000164155200964195,-6.37498569092111e-05,-0.000777459621580841,-0.00102811746638291,-0.000765377942026018
"63","HSP","HSP04",3,0.574999988,6.840722561,59.84908676,-75.71728,41.022,0.52,0.303,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.0203053856718908,-0.0297764692082003,0.000950161721910506,-0.000902669140659835,-0.00438888196098322,0.000164155200964195,-6.37498569092111e-05,-0.000777459621580841,-0.00102811746638291,-0.000765377942026018
"64","HSP","HSP1",1,0.469999999,8.363787651,55.55418777,-75.71728,41.022,0.419,0.327,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.027218205396991,-0.0387239952389928,-0.00799512909059673,0.00507601347190675,0.00206587790365784,-4.91728002819488e-05,2.25295529367162e-05,-0.00121394807477459,0.000809338196461012,0.000251613561300681
"65","HSP","HSP1",2,0.465999991,8.822353363,57.19489288,-75.71728,41.022,0.52,0.38,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.027218205396991,-0.0387239952389928,-0.00799512909059673,0.00507601347190675,0.00206587790365784,-4.91728002819488e-05,2.25295529367162e-05,-0.00121394807477459,0.000809338196461012,0.000251613561300681
"66","HSP","HSP1",3,0.503000021,7.999073505,57.59737015,-75.71728,41.022,0.445,0.33,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.027218205396991,-0.0387239952389928,-0.00799512909059673,0.00507601347190675,0.00206587790365784,-4.91728002819488e-05,2.25295529367162e-05,-0.00121394807477459,0.000809338196461012,0.000251613561300681
"67","HSP","HSP6",1,0.630999982,9.502994537,55.48365021,-75.71728,41.022,0.396,0.364,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.0263000635122404,-0.0376434429882121,-0.00686294637341801,0.0043443957521455,0.0012104478387331,-2.55338645811485e-05,1.49572827386489e-05,-0.00115431375383689,0.000446393955586835,0.000135582627008391
"68","HSP","HSP6",2,0.351999998,10.01893902,54.0956192,-75.71728,41.022,0.476,0.359,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,-0.0263000635122404,-0.0376434429882121,-0.00686294637341801,0.0043443957521455,0.0012104478387331,-2.55338645811485e-05,1.49572827386489e-05,-0.00115431375383689,0.000446393955586835,0.000135582627008391
"69","KBH","KBH2",1,0.354000002,10.09519577,55.67253113,-69.9211,44.5676,0.366,0.242,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,-0.0244453768134728,-0.0352674403886196,-0.00448208071717461,0.00276143106182996,-0.000510370949717751,2.79946338386644e-05,-1.39054524501167e-05,0.00387883806188456,-0.00100737118888592,-0.000142148056471544
"70","KBH","KBH5",1,0.437000006,8.956402779,56.27545166,-69.9211,44.5676,0.413,0.344,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,-0.0252339219544638,-0.0361945928636785,-0.00545432585337381,0.00338956070393547,0.000224966506142635,7.8590056413475e-06,-9.9432234117837e-06,0.00539794871753357,-0.00106528640440552,-5.98517079939204e-05
"71","KBH","KBH5",2,0.583999991,9.619184494,56.83148193,-69.9211,44.5676,0.676,0.507,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,-0.0252339219544638,-0.0361945928636785,-0.00545432585337381,0.00338956070393547,0.000224966506142635,7.8590056413475e-06,-9.9432234117837e-06,0.00539794871753357,-0.00106528640440552,-5.98517079939204e-05
"72","KBH","KBH5",3,0.790000021,9.768366814,56.97221756,-69.9211,44.5676,0.523,0.466,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,-0.0252339219544638,-0.0361945928636785,-0.00545432585337381,0.00338956070393547,0.000224966506142635,7.8590056413475e-06,-9.9432234117837e-06,0.00539794871753357,-0.00106528640440552,-5.98517079939204e-05
"73","KBH","KBH5",4,0.5,10.47266579,55.35970688,-69.9211,44.5676,0.571,0.492,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,-0.0252339219544638,-0.0361945928636785,-0.00545432585337381,0.00338956070393547,0.000224966506142635,7.8590056413475e-06,-9.9432234117837e-06,0.00539794871753357,-0.00106528640440552,-5.98517079939204e-05
