"","colonyID2","CN.colony.mass","N.percent.colony","C.percent.colony","P.ave.colony","P.mass.colony","lat","MAP","DRT","APS","MAT","colonyID","P.ave.percent.colony","ColonyID_sara","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Comp.1","Comp.2","Comp.3"
"41","RC16",0.486000001,7.134217421,61.57589976,-2.246591384,0.5285,36.0364,1158,132,11,14.4,"RC16",0.566772299,"RC16",-0.035969455,0.047567387,0.001275123,0.010918131,0.008715229,0.003985061,-0.003951362,2.33e-05,4.01e-06,0.001021664,-1.93159392104976,-1.20586198007033,-0.409816745547364
"42","RW5",0.449000001,9.843227864,54.98941612,-1.999066065,0.514,44.4906,843,116,22,6.7,"RW5",1.002152779,"RW5",-0.026783899,-0.037888037,-0.007299829,0.00455056,0.00167111,-3.93e-05,1.98e-05,-0.002878985,-0.001555172,-0.00042408,4.04722308313893,-3.19965906995419,0.240323584799545
"43","SEB2",0.553000004,9.834682942,55.86544419,-2.089144643,0.582,43.9235,1158,123,12,6.9,"SEB2",0.81443299,"SEB2",-0.028270365,-0.039723089,-0.009182028,0.005789944,0.00306517,-7.49e-05,9.17e-06,0.009846764,-0.000872093,0.000311576,0.197840656009176,0.234763305087458,-0.424193839307994
"44","SEB3",0.276500002,8.856312275,55.35828781,-2.049647167,0.324,43.9235,1158,123,12,6.9,"SEB3",0.891975309,"SEB3",-0.024216497,-0.03502463,-0.004217467,0.002598563,-0.000716708,2.91e-05,-1.48e-05,0.004953166,-0.001205364,-0.000124196,0.197840656009176,0.234763305087458,-0.424193839307994
"45","SEB9",0.514499992,10.47695971,55.16121101,-2.151267675,0.51,43.9235,1158,123,12,6.9,"SEB9",0.705882353,"SEB9",-0.025190135,-0.036051962,-0.00535343,0.003302125,0.000183342,1.04e-05,-5.68e-06,0.000825873,-0.000118143,-6.93e-05,0.197840656009176,0.234763305087458,-0.424193839307994
"46","UNF3",0.502666672,7.552058538,60.59979375,-2.256410734,0.591,35.3693,1184,129,14,15.3,"UNF3",0.554101423,"UNF3",-0.049531338,0.04269952,-0.035794176,-0.034120071,-0.041253077,0.000143542,-7.75e-06,8.9e-06,3.58e-05,-6.36e-05,-1.56357444969595,-1.82808432505565,0.641825815822192
"47","UNF4",0.546999991,7.222931624,63.35665512,NA,NA,35.3693,1184,129,14,15.3,NA,NA,"UNF4",-0.049284976,0.042573263,-0.035450732,-0.034006055,-0.041135737,0.000140788,-1.34e-05,1.29e-06,1.08e-05,-0.000167338,-1.56357444969595,-1.82808432505565,0.641825815822192
"48","UNF6",0.465333342,8.852817216,58.67571386,-2.102513503,0.427666667,35.3693,1184,129,14,15.3,"UNF6",0.789744294,"UNF6",-0.049621057,0.042743181,-0.035912175,-0.034149713,-0.041278789,0.000142448,-5.31e-06,1.16e-05,4.37e-05,-5.8e-06,-1.56357444969595,-1.82808432505565,0.641825815822192
"49","UNF7",0.306999996,10.21077124,53.56845093,-2.011776986,0.332666667,35.3693,1184,129,14,15.3,"UNF7",0.973246867,"UNF7",0.312275813,0.004718728,0.003713494,-0.000681025,-0.002965361,1.98e-05,-6.1e-06,-1.19e-05,-3.09e-05,-6.98e-05,-1.56357444969595,-1.82808432505565,0.641825815822192
"50","UNF8",0.464000007,7.07678318,62.69225438,NA,NA,35.3693,1184,129,14,15.3,NA,NA,"UNF8",-0.049297033,0.042585703,-0.035486796,-0.03404371,-0.041187397,0.000146438,-1.36e-05,2.66e-06,1.95e-05,-0.000172603,-1.56357444969595,-1.82808432505565,0.641825815822192
"51","WP1",0.370000005,9.821694374,55.25839233,NA,NA,39.7284,1113,111,12,11.5,NA,NA,"WP1r",0.321924598,0.004710986,0.002602978,0.000150509,-0.002117665,1.54e-06,-4.61e-06,-1.58e-05,-7.82e-05,-0.00022235,0.501135473497708,0.087424652745881,0.932334032644263
"52","WP11",0.481999994,10.09647687,55.52632777,-2.008717946,0.449,39.7284,1113,111,12,11.5,"WP11",0.980126325,"WP11",-0.033181861,0.04496661,0.003056935,0.007808265,0.005001433,-0.002382621,0.000313771,-8.6e-05,-0.000975261,0.00553424,0.501135473497708,0.087424652745881,0.932334032644263
"53","WP6",0.432000001,10.34540018,54.13375473,-2.014570894,0.549,39.7284,1113,111,12,11.5,"WP6",0.96700586,"WP6",-0.030173751,0.042447012,0.005043858,0.004834405,0.001330594,-0.000796937,0.000289405,-0.00011345,-0.000947149,0.004931458,0.501135473497708,0.087424652745881,0.932334032644263
"54","WP9",0.469333331,9.807552019,56.04205958,NA,NA,39.7284,1113,111,12,11.5,NA,NA,"WP9",-0.033727967,0.045220862,0.00264156,0.008104587,0.005467347,-0.000974281,0.000763096,-0.000188631,-0.002235311,0.013332544,0.501135473497708,0.087424652745881,0.932334032644263
